Product,Value($),Value(abbreviated),Year,Country
Ores slag and ash,1470000.00,$1.47M,2016,Germany
Pulp of wood- fibrous cellulosic material- waste,398020.00,$398.02K,2016,Germany
Special woven or tufted fabric- lace- tapestry,5650.00,$5.65K,2016,Germany
Arms and ammunition- parts and accessories,1620.00,$1.62K,2016,Germany
Manmade filaments,1200.00,$1.20K,2016,Germany
Stone- plaster- cement- asbestos- mica or similar materials,497.00,$497 ,2016,Germany
Lac- gums- resins,17.00,$17 ,2016,Germany
Photographic or cinematographic goods,15.00,$15 ,2016,Germany
Miscellaneous edible preparations,2.00,$2 ,2016,Germany
Cereal- flour- starch- milk preparations and products,1.00,$1 ,2016,Germany
Vegetable plaiting materials- vegetable products,12990.00,$12.99K,2015,Germany
Milling products- malt- starches- inlin- wheat gluten,917.00,$917 ,2015,Germany
Cereals,323.00,$323 ,2015,Germany
Residues- wastes of food industry- animal fodder,50.00,$50 ,2015,Germany
Fish- crustaceans- molluscs- aquatics invertebrates,1220000.00,$1.22M,2014,Germany
Manmade staple fibers,3830.00,$3.83K,2013,Germany
Bird skin- feathers- artificial flowers- human hair,54.00,$54 ,2013,Germany
Manufacturers of plaiting material- basketwork,55.00,$55 ,2012,Germany
Plastics,76560000.00,$76.56M,2017,Honduras
Iron and steel,67750000.00,$67.75M,2017,Honduras
Mineral fuels- oils- distillation products,60610000.00,$60.61M,2017,Honduras
Cereal- flour- starch- milk preparations and products,52470000.00,$52.47M,2017,Honduras
Miscellaneous edible preparations,51910000.00,$51.91M,2017,Honduras
Pharmaceutical products,50200000.00,$50.20M,2017,Honduras
Beverages- spirits and vinegar,47450000.00,$47.45M,2017,Honduras
Paper and paperboard- articles of pulp- paper and board,44500000.00,$44.50M,2017,Honduras
Miscellaneous chemical products,35750000.00,$35.75M,2017,Honduras
Essential oils- perfumes- cosmetics- toileteries,32910000.00,$32.91M,2017,Honduras
Articles of iron or steel,27390000.00,$27.39M,2017,Honduras
Soaps- lubricants- waxes- candles- modelling pastes,26680000.00,$26.68M,2017,Honduras
Furniture- lighting signs- prefabricated buildings,25560000.00,$25.56M,2017,Honduras
Vehicles other than railway- tramway,21780000.00,$21.78M,2017,Honduras
Residues- wastes of food industry- animal fodder,21740000.00,$21.74M,2017,Honduras
Aluminum,19510000.00,$19.51M,2017,Honduras
Animal- vegetable fats and oils- cleavage products,19430000.00,$19.43M,2017,Honduras
Ceramic products,19250000.00,$19.25M,2017,Honduras
Machinery- nuclear reactors- boilers,17650000.00,$17.65M,2017,Honduras
Tanning- dyeing extracts- tannins- derivatives- pigments,16830000.00,$16.83M,2017,Honduras
Cotton,15470000.00,$15.47M,2017,Honduras
Wood and articles of wood- wood charcoal,15360000.00,$15.36M,2017,Honduras
Inorganic chemicals- precious metal compound- isotope,12930000.00,$12.93M,2017,Honduras
Vegetable- fruit- nut food preparations,12220000.00,$12.22M,2017,Honduras
Electrical- electronic equipment,12090000.00,$12.09M,2017,Honduras
Meat- fish and seafood preparations,11720000.00,$11.72M,2017,Honduras
Glass and glassware,10360000.00,$10.36M,2017,Honduras
Manmade filaments,10230000.00,$10.23M,2017,Honduras
Knitted or crocheted fabric,10040000.00,$10.04M,2017,Honduras
Other made textile articles- sets- worn clothing,9910000.00,$9.91M,2017,Honduras
Sugars and sugar confectionery,8140000.00,$8.14M,2017,Honduras
Salt- sulphur- earth- stone- plaster- lime and cement,7920000.00,$7.92M,2017,Honduras
Printed books- newspapers- pictures,6680000.00,$6.68M,2017,Honduras
Organic chemicals,6210000.00,$6.21M,2017,Honduras
Milling products- malt- starches- inlin- wheat gluten,5890000.00,$5.89M,2017,Honduras
Articles of apparel- knit or crocheted,5800000.00,$5.80M,2017,Honduras
Edible vegetables and certain roots and tubers,5630000.00,$5.63M,2017,Honduras
Miscellanneous manufactured articles,5270000.00,$5.27M,2017,Honduras
Footwear- gaiters and the like-,4820000.00,$4.82M,2017,Honduras
Edible fruits- nuts- peel of citrus fruit- melons,4740000.00,$4.74M,2017,Honduras
Albuminoids- modified starches- glues- enzymes,3950000.00,$3.95M,2017,Honduras
Oil seed- oleagic fruits- grain- seed- fruits,3940000.00,$3.94M,2017,Honduras
Manmade staple fibers,3860000.00,$3.86M,2017,Honduras
Wadding- felt- nonwovens- yarns- twine- cordage,3670000.00,$3.67M,2017,Honduras
Explosives- pyrotechnics- matches- pyrophorics,3570000.00,$3.57M,2017,Honduras
Fertilizers,3120000.00,$3.12M,2017,Honduras
Cocoa and cocoa preparations,3040000.00,$3.04M,2017,Honduras
Special woven or tufted fabric- lace- tapestry,2370000.00,$2.37M,2017,Honduras
Lac- gums- resins,2310000.00,$2.31M,2017,Honduras
Miscellaneous articles of base metal,2310000.00,$2.31M,2017,Honduras
Articles of apparel- not knit or crocheted,2220000.00,$2.22M,2017,Honduras
Rubbers,2090000.00,$2.09M,2017,Honduras
Toys- games- sports requisites,1910000.00,$1.91M,2017,Honduras
Raw hides and skins (other than furskins) and leather,1830000.00,$1.83M,2017,Honduras
Optical- photo- technical- medical apparatus,1800000.00,$1.80M,2017,Honduras
Articles of leather- animal gut- harness- travel good,1750000.00,$1.75M,2017,Honduras
Live trees- plants- bulbs- roots- cut flowers,686640.00,$686.64K,2017,Honduras
Stone- plaster- cement- asbestos- mica or similar materials,641470.00,$641.47K,2017,Honduras
Tools- implements- cutlery of base metal,541250.00,$541.25K,2017,Honduras
Dairy products- eggs- honey- edible products,515500.00,$515.50K,2017,Honduras
Clocks and watches,511590.00,$511.59K,2017,Honduras
Impregnated- coated or laminated textile fabric,414910.00,$414.91K,2017,Honduras
Headgear and,394000.00,$394.00K,2017,Honduras
Cereals,386230.00,$386.23K,2017,Honduras
Coffee- tea- mate and spices,379630.00,$379.63K,2017,Honduras
Aircraft- spacecraft,310000.00,$310K,2017,Honduras
Pearls- precious stones- metals- coins,275000.00,$275.00K,2017,Honduras
Umbrellas- walking-sticks- seat-sticks- whips,218590.00,$218.59K,2017,Honduras
Zinc,216140.00,$216.14K,2017,Honduras
Photographic or cinematographic goods,209220.00,$209.22K,2017,Honduras
Pulp of wood- fibrous cellulosic material- waste,128640.00,$128.64K,2017,Honduras
Vegetable plaiting materials- vegetable products,63200.00,$63.20K,2017,Honduras
Railway- tramway locomotives- rolling stock- equipment,55520.00,$55.52K,2017,Honduras
Copper,51830.00,$51.83K,2017,Honduras
Tobacco and manufactures tobacco substitutes,33970.00,$33.97K,2017,Honduras
Bird skin- feathers- artificial flowers- human hair,24410.00,$24.41K,2017,Honduras
Carpets and other textile floor coverings,23010.00,$23.01K,2017,Honduras
Lead,22500.00,$22.5K,2017,Honduras
Ships- boats- and other floating structures,14790.00,$14.79K,2017,Honduras
Live animals,11000.00,$11K,2017,Honduras
Tin,7490.00,$7.49K,2017,Honduras
Wool- animal hair- horsehair yarn and fabric,4980.00,$4.98K,2017,Honduras
Works of art- collectors' pieces and antiques,3240.00,$3.24K,2017,Honduras
Furskins and artificial fur- manufactures,1870.00,$1.87K,2017,Honduras
Manufacturers of plaiting material- basketwork,788.00,$788 ,2017,Honduras
Cork and articles of cork,462.00,$462 ,2017,Honduras
Musical instruments- parts and accessories,437.00,$437 ,2017,Honduras
Ores slag and ash,419.00,$419 ,2017,Honduras
Fish- crustaceans- molluscs- aquatics invertebrates,28600.00,$28.6K,2016,Honduras
Silk,6660.00,$6.66K,2016,Honduras
Nickel,1190.00,$1.19K,2016,Honduras
Arms and ammunition- parts and accessories,596.00,$596 ,2016,Honduras
Vegetable textile fibers not specified elsewhere- paper yarn- woven fabric,274.00,$274 ,2016,Honduras
Meat and edible meat offal,22450.00,$22.45K,2015,Honduras
Base metals not specified elsewhere- cermets.,1680.00,$1.68K,2015,Honduras
Products of animal origin,1440.00,$1.44K,2014,Honduras
Animal- vegetable fats and oils- cleavage products,9780000.00,$9.78M,2017,Venezuela
Salt- sulphur- earth- stone- plaster- lime and cement,1200000.00,$1.20M,2017,Venezuela
Miscellaneous chemical products,901350.00,$901.35K,2017,Venezuela
Sugars and sugar confectionery,755780.00,$755.78K,2017,Venezuela
Pharmaceutical products,451230.00,$451.23K,2017,Venezuela
Plastics,406670.00,$406.67K,2017,Venezuela
Rubbers,153670.00,$153.67K,2017,Venezuela
Cereal- flour- starch- milk preparations and products,111210.00,$111.21K,2017,Venezuela
Toys- games- sports requisites,79320.00,$79.32K,2017,Venezuela
Residues- wastes of food industry- animal fodder,74120.00,$74.12K,2017,Venezuela
Miscellanneous manufactured articles,50490.00,$50.49K,2017,Venezuela
Tools- implements- cutlery of base metal,39100.00,$39.10K,2017,Venezuela
Electrical- electronic equipment,25450.00,$25.45K,2017,Venezuela
Cereals,25300.00,$25.3K,2017,Venezuela
Essential oils- perfumes- cosmetics- toileteries,16520.00,$16.52K,2017,Venezuela
Ceramic products,12270.00,$12.27K,2017,Venezuela
Organic chemicals,10320.00,$10.32K,2017,Venezuela
Machinery- nuclear reactors- boilers,7640.00,$7.64K,2017,Venezuela
Optical- photo- technical- medical apparatus,3520.00,$3.52K,2017,Venezuela
Albuminoids- modified starches- glues- enzymes,1700.00,$1.70K,2017,Venezuela
Furniture- lighting signs- prefabricated buildings,1610.00,$1.61K,2017,Venezuela
Tanning- dyeing extracts- tannins- derivatives- pigments,1420.00,$1.42K,2017,Venezuela
Articles of iron or steel,640.00,$640 ,2017,Venezuela
Articles of apparel- not knit or crocheted,460.00,$460 ,2017,Venezuela
Footwear- gaiters and the like-,200.00,$200 ,2017,Venezuela
Works of art- collectors' pieces and antiques,150.00,$150 ,2017,Venezuela
Printed books- newspapers- pictures,110.00,$110 ,2017,Venezuela
Glass and glassware,55.00,$55 ,2017,Venezuela
Musical instruments- parts and accessories,50.00,$50 ,2017,Venezuela
Carpets and other textile floor coverings,40.00,$40 ,2017,Venezuela
Vehicles other than railway- tramway,30.00,$30 ,2017,Venezuela
Other made textile articles- sets- worn clothing,106980.00,$106.98K,2016,Venezuela
Inorganic chemicals- precious metal compound- isotope,10900.00,$10.9K,2016,Venezuela
Articles of apparel- knit or crocheted,5260.00,$5.26K,2016,Venezuela
Stone- plaster- cement- asbestos- mica or similar materials,3180.00,$3.18K,2016,Venezuela
Coffee- tea- mate and spices,1320.00,$1.32K,2016,Venezuela
Miscellaneous articles of base metal,1090.00,$1.09K,2016,Venezuela
Articles of leather- animal gut- harness- travel good,745.00,$745 ,2016,Venezuela
Wood and articles of wood- wood charcoal,195.00,$195 ,2016,Venezuela
Paper and paperboard- articles of pulp- paper and board,50.00,$50 ,2016,Venezuela
Soaps- lubricants- waxes- candles- modelling pastes,20.00,$20 ,2016,Venezuela
Railway- tramway locomotives- rolling stock- equipment,72120.00,$72.12K,2015,Venezuela
Pearls- precious stones- metals- coins,50.00,$50 ,2015,Venezuela
Manmade filaments,35.00,$35 ,2015,Venezuela
Manufacturers of plaiting material- basketwork,6.00,$6 ,2015,Venezuela
Beverages- spirits and vinegar,66900.00,$66.90K,2014,Venezuela
Edible vegetables and certain roots and tubers,36800.00,$36.8K,2014,Venezuela
Oil seed- oleagic fruits- grain- seed- fruits,22160.00,$22.16K,2014,Venezuela
Fertilizers,4720.00,$4.72K,2014,Venezuela
Aluminum,1350.00,$1.35K,2014,Venezuela
Mineral fuels- oils- distillation products,13280.00,$13.28K,2013,Venezuela
Live animals,12000.00,$12K,2013,Venezuela
Copper,10920.00,$10.92K,2013,Venezuela
Headgear and,403.00,$403 ,2013,Venezuela
Vegetable- fruit- nut food preparations,249880.00,$249.88K,2012,Venezuela
Iron and steel,151870.00,$151.87K,2012,Venezuela
Products of animal origin,16500.00,$16.5K,2012,Venezuela
Wadding- felt- nonwovens- yarns- twine- cordage,5290.00,$5.29K,2012,Venezuela
Photographic or cinematographic goods,15.00,$15 ,2012,Venezuela
Umbrellas- walking-sticks- seat-sticks- whips,4.00,$4 ,2012,Venezuela
Lac- gums- resins,69300.00,$69.3K,2011,Venezuela
Fish- crustaceans- molluscs- aquatics invertebrates,2500.00,$2.50K,2011,Venezuela
Clocks and watches,250.00,$250 ,2011,Venezuela
Milling products- malt- starches- inlin- wheat gluten,15600.00,$15.6K,2010,Venezuela
Cotton,6100.00,$6.10K,2010,Venezuela
Dairy products- eggs- honey- edible products,75.00,$75 ,2010,Venezuela
Mineral fuels- oils- distillation products,172530000.00,$172.53M,2017,El Salvador
Animal- vegetable fats and oils- cleavage products,74520000.00,$74.52M,2017,El Salvador
Knitted or crocheted fabric,73830000.00,$73.83M,2017,El Salvador
Plastics,72490000.00,$72.49M,2017,El Salvador
Beverages- spirits and vinegar,62470000.00,$62.47M,2017,El Salvador
Cereal- flour- starch- milk preparations and products,47990000.00,$47.99M,2017,El Salvador
Iron and steel,46300000.00,$46.30M,2017,El Salvador
Paper and paperboard- articles of pulp- paper and board,42310000.00,$42.31M,2017,El Salvador
Miscellaneous edible preparations,42030000.00,$42.03M,2017,El Salvador
Meat- fish and seafood preparations,37660000.00,$37.66M,2017,El Salvador
Soaps- lubricants- waxes- candles- modelling pastes,36810000.00,$36.81M,2017,El Salvador
Essential oils- perfumes- cosmetics- toileteries,36360000.00,$36.36M,2017,El Salvador
Pharmaceutical products,35520000.00,$35.52M,2017,El Salvador
Articles of iron or steel,34630000.00,$34.63M,2017,El Salvador
Miscellaneous chemical products,25120000.00,$25.12M,2017,El Salvador
Aluminum,25040000.00,$25.04M,2017,El Salvador
Edible vegetables and certain roots and tubers,24380000.00,$24.38M,2017,El Salvador
Vegetable- fruit- nut food preparations,21220000.00,$21.22M,2017,El Salvador
Ceramic products,21010000.00,$21.01M,2017,El Salvador
Machinery- nuclear reactors- boilers,17850000.00,$17.85M,2017,El Salvador
Furniture- lighting signs- prefabricated buildings,16660000.00,$16.66M,2017,El Salvador
Tanning- dyeing extracts- tannins- derivatives- pigments,16140000.00,$16.14M,2017,El Salvador
Manmade filaments,16020000.00,$16.02M,2017,El Salvador
Edible fruits- nuts- peel of citrus fruit- melons,14190000.00,$14.19M,2017,El Salvador
Residues- wastes of food industry- animal fodder,12310000.00,$12.31M,2017,El Salvador
Organic chemicals,11400000.00,$11.40M,2017,El Salvador
Vehicles other than railway- tramway,10120000.00,$10.12M,2017,El Salvador
Electrical- electronic equipment,10080000.00,$10.08M,2017,El Salvador
Articles of apparel- not knit or crocheted,9700000.00,$9.70M,2017,El Salvador
Milling products- malt- starches- inlin- wheat gluten,9510000.00,$9.51M,2017,El Salvador
Wood and articles of wood- wood charcoal,9390000.00,$9.39M,2017,El Salvador
Footwear- gaiters and the like-,9150000.00,$9.15M,2017,El Salvador
Meat and edible meat offal,7710000.00,$7.71M,2017,El Salvador
Inorganic chemicals- precious metal compound- isotope,7540000.00,$7.54M,2017,El Salvador
Glass and glassware,7280000.00,$7.28M,2017,El Salvador
Other made textile articles- sets- worn clothing,6920000.00,$6.92M,2017,El Salvador
Articles of apparel- knit or crocheted,6670000.00,$6.67M,2017,El Salvador
Cotton,5420000.00,$5.42M,2017,El Salvador
Printed books- newspapers- pictures,5400000.00,$5.40M,2017,El Salvador
Manmade staple fibers,5350000.00,$5.35M,2017,El Salvador
Salt- sulphur- earth- stone- plaster- lime and cement,5330000.00,$5.33M,2017,El Salvador
Sugars and sugar confectionery,4980000.00,$4.98M,2017,El Salvador
Fertilizers,4860000.00,$4.86M,2017,El Salvador
Live trees- plants- bulbs- roots- cut flowers,4840000.00,$4.84M,2017,El Salvador
Miscellanneous manufactured articles,4460000.00,$4.46M,2017,El Salvador
Albuminoids- modified starches- glues- enzymes,3800000.00,$3.80M,2017,El Salvador
Special woven or tufted fabric- lace- tapestry,3730000.00,$3.73M,2017,El Salvador
Cocoa and cocoa preparations,3310000.00,$3.31M,2017,El Salvador
Rubbers,3150000.00,$3.15M,2017,El Salvador
Optical- photo- technical- medical apparatus,2830000.00,$2.83M,2017,El Salvador
Miscellaneous articles of base metal,2700000.00,$2.70M,2017,El Salvador
Toys- games- sports requisites,2600000.00,$2.60M,2017,El Salvador
Pulp of wood- fibrous cellulosic material- waste,2580000.00,$2.58M,2017,El Salvador
Raw hides and skins (other than furskins) and leather,1880000.00,$1.88M,2017,El Salvador
Live animals,1790000.00,$1.79M,2017,El Salvador
Dairy products- eggs- honey- edible products,1690000.00,$1.69M,2017,El Salvador
Wadding- felt- nonwovens- yarns- twine- cordage,1610000.00,$1.61M,2017,El Salvador
Articles of leather- animal gut- harness- travel good,1560000.00,$1.56M,2017,El Salvador
Tools- implements- cutlery of base metal,1450000.00,$1.45M,2017,El Salvador
Lac- gums- resins,1380000.00,$1.38M,2017,El Salvador
Oil seed- oleagic fruits- grain- seed- fruits,1370000.00,$1.37M,2017,El Salvador
Explosives- pyrotechnics- matches- pyrophorics,1250000.00,$1.25M,2017,El Salvador
Cereals,1240000.00,$1.24M,2017,El Salvador
Stone- plaster- cement- asbestos- mica or similar materials,1050000.00,$1.05M,2017,El Salvador
Impregnated- coated or laminated textile fabric,910020.00,$910.02K,2017,El Salvador
Coffee- tea- mate and spices,837620.00,$837.62K,2017,El Salvador
Clocks and watches,456750.00,$456.75K,2017,El Salvador
Photographic or cinematographic goods,255750.00,$255.75K,2017,El Salvador
Copper,227590.00,$227.59K,2017,El Salvador
Umbrellas- walking-sticks- seat-sticks- whips,222460.00,$222.46K,2017,El Salvador
Fish- crustaceans- molluscs- aquatics invertebrates,210140.00,$210.14K,2017,El Salvador
Pearls- precious stones- metals- coins,184790.00,$184.79K,2017,El Salvador
Musical instruments- parts and accessories,138000.00,$138.00K,2017,El Salvador
Headgear and,118370.00,$118.37K,2017,El Salvador
Railway- tramway locomotives- rolling stock- equipment,84180.00,$84.18K,2017,El Salvador
Carpets and other textile floor coverings,73000.00,$73.00K,2017,El Salvador
Zinc,70350.00,$70.35K,2017,El Salvador
Tobacco and manufactures tobacco substitutes,65520.00,$65.52K,2017,El Salvador
Vegetable plaiting materials- vegetable products,59140.00,$59.14K,2017,El Salvador
Lead,32160.00,$32.16K,2017,El Salvador
Products of animal origin,20840.00,$20.84K,2017,El Salvador
Bird skin- feathers- artificial flowers- human hair,17380.00,$17.38K,2017,El Salvador
Wool- animal hair- horsehair yarn and fabric,17240.00,$17.24K,2017,El Salvador
Manufacturers of plaiting material- basketwork,10260.00,$10.26K,2017,El Salvador
Nickel,6130.00,$6.13K,2017,El Salvador
Works of art- collectors' pieces and antiques,4420.00,$4.42K,2017,El Salvador
Arms and ammunition- parts and accessories,3450.00,$3.45K,2017,El Salvador
Ores slag and ash,1500.00,$1.50K,2017,El Salvador
Tin,662.00,$662 ,2017,El Salvador
Silk,520.00,$520 ,2017,El Salvador
Furskins and artificial fur- manufactures,436.00,$436 ,2017,El Salvador
Cork and articles of cork,76.00,$76 ,2017,El Salvador
Aircraft- spacecraft,639200.00,$639.2K,2016,El Salvador
Ships- boats- and other floating structures,3.00,$3 ,2016,El Salvador
Base metals not specified elsewhere- cermets.,386.00,$386 ,2015,El Salvador
Vegetable textile fibers not specified elsewhere- paper yarn- woven fabric,283.00,$283 ,2015,El Salvador
Edible fruits- nuts- peel of citrus fruit- melons,1060000000.00,$1.06B,2017,United States
Articles of apparel- knit or crocheted,1010000000.00,$1.01B,2017,United States
Coffee- tea- mate and spices,290480000.00,$290.48M,2017,United States
Articles of apparel- not knit or crocheted,227760000.00,$227.76M,2017,United States
Edible vegetables and certain roots and tubers,188350000.00,$188.35M,2017,United States
Sugars and sugar confectionery,125550000.00,$125.55M,2017,United States
Mineral fuels- oils- distillation products,118690000.00,$118.69M,2017,United States
Ores slag and ash,85890000.00,$85.89M,2017,United States
Iron and steel,74210000.00,$74.21M,2017,United States
Paper and paperboard- articles of pulp- paper and board,72630000.00,$72.63M,2017,United States
Wood and articles of wood- wood charcoal,62160000.00,$62.16M,2017,United States
Live trees- plants- bulbs- roots- cut flowers,43100000.00,$43.10M,2017,United States
Vegetable- fruit- nut food preparations,42790000.00,$42.79M,2017,United States
Beverages- spirits and vinegar,37000000.00,$37.00M,2017,United States
Fish- crustaceans- molluscs- aquatics invertebrates,31600000.00,$31.60M,2017,United States
Rubbers,30210000.00,$30.21M,2017,United States
Articles of leather- animal gut- harness- travel good,27690000.00,$27.69M,2017,United States
Tobacco and manufactures tobacco substitutes,26740000.00,$26.74M,2017,United States
Electrical- electronic equipment,25450000.00,$25.45M,2017,United States
Miscellaneous edible preparations,23440000.00,$23.44M,2017,United States
Optical- photo- technical- medical apparatus,23100000.00,$23.10M,2017,United States
Oil seed- oleagic fruits- grain- seed- fruits,18930000.00,$18.93M,2017,United States
Plastics,18640000.00,$18.64M,2017,United States
Aluminum,16250000.00,$16.25M,2017,United States
Footwear- gaiters and the like-,12810000.00,$12.81M,2017,United States
Pearls- precious stones- metals- coins,12750000.00,$12.75M,2017,United States
Other made textile articles- sets- worn clothing,10620000.00,$10.62M,2017,United States
Machinery- nuclear reactors- boilers,9020000.00,$9.02M,2017,United States
Essential oils- perfumes- cosmetics- toileteries,7750000.00,$7.75M,2017,United States
Articles of iron or steel,7290000.00,$7.29M,2017,United States
Toys- games- sports requisites,6940000.00,$6.94M,2017,United States
Organic chemicals,6720000.00,$6.72M,2017,United States
Cereal- flour- starch- milk preparations and products,6580000.00,$6.58M,2017,United States
Soaps- lubricants- waxes- candles- modelling pastes,5940000.00,$5.94M,2017,United States
Wadding- felt- nonwovens- yarns- twine- cordage,4330000.00,$4.33M,2017,United States
Miscellanneous manufactured articles,2710000.00,$2.71M,2017,United States
Manmade staple fibers,2640000.00,$2.64M,2017,United States
Manmade filaments,2360000.00,$2.36M,2017,United States
Vehicles other than railway- tramway,1980000.00,$1.98M,2017,United States
Cocoa and cocoa preparations,1940000.00,$1.94M,2017,United States
Meat- fish and seafood preparations,1860000.00,$1.86M,2017,United States
Vegetable plaiting materials- vegetable products,1790000.00,$1.79M,2017,United States
Pharmaceutical products,1660000.00,$1.66M,2017,United States
Knitted or crocheted fabric,1310000.00,$1.31M,2017,United States
Furniture- lighting signs- prefabricated buildings,1260000.00,$1.26M,2017,United States
Lac- gums- resins,1210000.00,$1.21M,2017,United States
Animal- vegetable fats and oils- cleavage products,1170000.00,$1.17M,2017,United States
Tanning- dyeing extracts- tannins- derivatives- pigments,1110000.00,$1.11M,2017,United States
Copper,1050000.00,$1.05M,2017,United States
Carpets and other textile floor coverings,967260.00,$967.26K,2017,United States
Headgear and,687170.00,$687.17K,2017,United States
Ceramic products,554960.00,$554.96K,2017,United States
Milling products- malt- starches- inlin- wheat gluten,446640.00,$446.64K,2017,United States
Glass and glassware,428820.00,$428.82K,2017,United States
Miscellaneous chemical products,388550.00,$388.55K,2017,United States
Aircraft- spacecraft,353400.00,$353.40K,2017,United States
Cotton,269940.00,$269.94K,2017,United States
Residues- wastes of food industry- animal fodder,261180.00,$261.18K,2017,United States
Tools- implements- cutlery of base metal,216330.00,$216.33K,2017,United States
Manufacturers of plaiting material- basketwork,215480.00,$215.48K,2017,United States
Railway- tramway locomotives- rolling stock- equipment,210570.00,$210.57K,2017,United States
Products of animal origin,209560.00,$209.56K,2017,United States
Clocks and watches,174170.00,$174.17K,2017,United States
Printed books- newspapers- pictures,126960.00,$126.96K,2017,United States
Cereals,106000.00,$106.00K,2017,United States
Special woven or tufted fabric- lace- tapestry,100100.00,$100.10K,2017,United States
Albuminoids- modified starches- glues- enzymes,95000.00,$95.00K,2017,United States
Works of art- collectors' pieces and antiques,83040.00,$83.04K,2017,United States
Zinc,79300.00,$79.30K,2017,United States
Dairy products- eggs- honey- edible products,74110.00,$74.11K,2017,United States
Wool- animal hair- horsehair yarn and fabric,66690.00,$66.69K,2017,United States
Salt- sulphur- earth- stone- plaster- lime and cement,58060.00,$58.06K,2017,United States
Inorganic chemicals- precious metal compound- isotope,47980.00,$47.98K,2017,United States
Impregnated- coated or laminated textile fabric,34450.00,$34.45K,2017,United States
Meat and edible meat offal,32950.00,$32.95K,2017,United States
Live animals,31050.00,$31.05K,2017,United States
Fertilizers,29380.00,$29.38K,2017,United States
Stone- plaster- cement- asbestos- mica or similar materials,24130.00,$24.13K,2017,United States
Miscellaneous articles of base metal,22440.00,$22.44K,2017,United States
Pulp of wood- fibrous cellulosic material- waste,21720.00,$21.72K,2017,United States
Musical instruments- parts and accessories,16380.00,$16.38K,2017,United States
Umbrellas- walking-sticks- seat-sticks- whips,1500.00,$1.50K,2017,United States
Tin,722.00,$722 ,2017,United States
Nickel,548.00,$548 ,2017,United States
Photographic or cinematographic goods,368.00,$368 ,2017,United States
Furskins and artificial fur- manufactures,276.00,$276 ,2017,United States
Silk,134.00,$134 ,2017,United States
Arms and ammunition- parts and accessories,60.00,$60 ,2017,United States
Bird skin- feathers- artificial flowers- human hair,41.00,$41 ,2017,United States
Cork and articles of cork,1.00,$1 ,2017,United States
Lead,1220000.00,$1.22M,2016,United States
Raw hides and skins (other than furskins) and leather,415.00,$415 ,2016,United States
Ships- boats- and other floating structures,5300.00,$5.30K,2015,United States
Vegetable textile fibers not specified elsewhere- paper yarn- woven fabric,4.00,$4 ,2015,United States
Base metals not specified elsewhere- cermets.,29.00,$29 ,2012,United States
